text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
2700,10,5.31334e-05,20,5.38298e-05,30,5.50034e-05,40,5.61294e-05,50,5.65502e-05,60,5.57612e-05,70,5.65503e-05,80,5.69363e-05,90,5.84187e-05,100,5.89728e-05
2800,10,5.51143e-05,20,5.58091e-05,30,5.68712e-05,40,5.73545e-05,50,5.76472e-05,60,5.77484e-05,70,5.82821e-05,80,5.87922e-05,90,5.93728e-05,100,5.99412e-05
2900,10,5.77326e-05,20,5.81775e-05,30,5.81119e-05,40,5.93762e-05,50,5.92894e-05,60,6.03176e-05,70,5.96125e-05,80,6.08162e-05,90,6.30611e-05,100,6.34454e-05
3000,10,5.84815e-05,20,5.94419e-05,30,6.10976e-05,40,6.02593e-05,50,6.15899e-05,60,6.08984e-05,70,6.27298e-05,80,6.29384e-05,90,6.40078e-05,100,6.44474e-05
3100,10,6.09677e-05,20,6.18329e-05,30,6.39049e-05,40,6.27722e-05,50,6.28113e-05,60,6.3388e-05,70,6.3683e-05,80,6.51301e-05,90,6.39347e-05,100,6.545e-05
3200,10,6.2976e-05,20,6.29965e-05,30,6.33077e-05,40,6.51208e-05,50,6.76853e-05,60,6.62399e-05,70,6.68983e-05,80,6.76948e-05,90,6.73255e-05,100,6.93776e-05
3300,10,6.44054e-05,20,6.49751e-05,30,6.5689e-05,40,6.81392e-05,50,6.6595e-05,60,6.8402e-05,70,6.74137e-05,80,6.71268e-05,90,6.87496e-05,100,7.09802e-05
3400,10,6.70472e-05,20,6.76699e-05,30,7.00933e-05,40,6.83185e-05,50,6.83591e-05,60,7.15054e-05,70,6.89458e-05,80,6.92388e-05,90,7.17208e-05,100,7.34658e-05
3500,10,6.88265e-05,20,6.90957e-05,30,6.96531e-05,40,7.07164e-05,50,6.96314e-05,60,7.16684e-05,70,7.1101e-05,80,7.18096e-05,90,7.23023e-05,100,7.38276e-05
3600,10,7.07586e-05,20,7.33365e-05,30,7.19726e-05,40,7.1796e-05,50,7.22591e-05,60,7.35824e-05,70,7.44433e-05,80,7.34822e-05,90,7.64099e-05,100,7.52422e-05
3700,10,7.21214e-05,20,7.33147e-05,30,7.41103e-05,40,7.38325e-05,50,7.47472e-05,60,7.42264e-05,70,7.69611e-05,80,8.24338e-05,90,7.68354e-05,100,7.59486e-05
3800,10,7.41067e-05,20,7.49e-05,30,7.83079e-05,40,7.56279e-05,50,7.63571e-05,60,7.59371e-05,70,7.79954e-05,80,8.04718e-05,90,7.97221e-05,100,8.05776e-05
3900,10,7.56661e-05,20,7.65869e-05,30,7.73538e-05,40,7.83044e-05,50,8.06094e-05,60,7.86444e-05,70,7.78782e-05,80,8.05832e-05,90,8.0574e-05,100,8.07735e-05
4000,10,7.78564e-05,20,7.8837e-05,30,7.87995e-05,40,7.89052e-05,50,8.07077e-05,60,8.16981e-05,70,8.16557e-05,80,8.05331e-05,90,8.20642e-05,100,8.21046e-05
4100,10,8.19326e-05,20,8.06208e-05,30,8.12225e-05,40,8.1738e-05,50,8.31268e-05,60,8.50965e-05,70,8.47185e-05,80,8.54952e-05,90,8.5162e-05,100,8.6192e-05
4200,10,8.22104e-05,20,8.27372e-05,30,8.30063e-05,40,8.37955e-05,50,8.35494e-05,60,8.49467e-05,70,8.48153e-05,80,8.73078e-05,90,8.52275e-05,100,8.61955e-05
4300,10,8.56346e-05,20,8.58684e-05,30,8.481e-05,40,8.55874e-05,50,8.59251e-05,60,8.61172e-05,70,8.66886e-05,80,8.81626e-05,90,8.98776e-05,100,8.76383e-05
4400,10,8.68802e-05,20,8.82367e-05,30,8.67332e-05,40,9.27225e-05,50,9.47009e-05,60,9.76141e-05,70,0.000102669,80,0.000102502,90,0.000102715,100,0.000103947
4500,10,0.000101268,20,0.000101917,30,0.000103214,40,0.000101792,50,0.000102796,60,0.000102653,70,0.000105631,80,0.000103033,90,0.000105715,100,0.000103195
4600,10,9.95947e-05,20,0.000101616,30,0.00010194,40,0.000102592,50,0.000106494,60,0.000104692,70,0.0001056,80,0.000105698,90,0.000104498,100,0.000100974
4700,10,9.45341e-05,20,9.23526e-05,30,9.35653e-05,40,9.43132e-05,50,9.4546e-05,60,9.50156e-05,70,9.73123e-05,80,9.51995e-05,90,9.50798e-05,100,9.66737e-05
4800,10,9.39149e-05,20,9.55888e-05,30,9.39805e-05,40,9.60088e-05,50,9.63625e-05,60,9.55099e-05,70,9.67016e-05,80,9.7357e-05,90,0.000100291,100,9.54111e-05
4900,10,9.7248e-05,20,9.64937e-05,30,9.74656e-05,40,9.90622e-05,50,9.76122e-05,60,9.75601e-05,70,9.73786e-05,80,0.000102815,90,9.96074e-05,100,0.000100084
5000,10,9.82239e-05,20,9.80236e-05,30,0.00010017,40,9.84633e-05,50,0.000104019,60,0.000101745,70,0.000100014,80,9.98613e-05,90,0.000102501,100,0.00010199
5100,10,9.89311e-05,20,9.99897e-05,30,0.000101341,40,0.000101549,50,0.000102174,60,0.000103678,70,0.000105616,80,0.000102904,90,0.000102923,100,0.000105324
5200,10,0.000102875,20,0.000102954,30,0.000101967,40,0.000106949,50,0.00010281,60,0.00010293,70,0.000105893,80,0.000104408,90,0.000106037,100,0.00010758
5300,10,0.000102894,20,0.000104463,30,0.000103154,40,0.000104939,50,0.000106822,60,0.000105924,70,0.000105882,80,0.000106236,90,0.000108767,100,0.00010774
5400,10,0.000105517,20,0.0001057,30,0.000106902,40,0.000105413,50,0.000108104,60,0.000110415,70,0.000108823,80,0.000108256,90,0.000111598,100,0.000110968
