text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
3400,10,0.000181473,20,0.000208303,30,0.000228927,40,0.000239503,50,0.000237566,60,0.000252691,70,0.000264052,80,0.000269258,90,0.000262987,100,0.000280331
3500,10,0.000186984,20,0.000216204,30,0.000233998,40,0.000245419,50,0.000241959,60,0.000263241,70,0.000270914,80,0.00027599,90,0.000271148,100,0.000290922
3600,10,0.000197701,20,0.00022051,30,0.000242676,40,0.000252418,50,0.000248044,60,0.000273102,70,0.000280246,80,0.000286492,90,0.000270631,100,0.000301966
3700,10,0.000197797,20,0.000227246,30,0.000247055,40,0.000256484,50,0.000261311,60,0.000278587,70,0.000295409,80,0.000294939,90,0.000294706,100,0.000296762
3800,10,0.000204253,20,0.000235407,30,0.000254091,40,0.000264363,50,0.000269035,60,0.000287374,70,0.000294537,80,0.000303527,90,0.000289986,100,0.000306547
3900,10,0.000211686,20,0.000239804,30,0.000267338,40,0.000272258,50,0.000275434,60,0.000295253,70,0.000306281,80,0.000312039,90,0.000303562,100,0.000323202
4000,10,0.000214098,20,0.000250554,30,0.000265974,40,0.000282142,50,0.000283204,60,0.000299899,70,0.000310711,80,0.0003213,90,0.000307048,100,0.000331642
4100,10,0.000218912,20,0.000252278,30,0.000276609,40,0.000287506,50,0.000287306,60,0.000308309,70,0.000322296,80,0.000329931,90,0.000332219,100,0.000339763
4200,10,0.000224832,20,0.000261655,30,0.000282846,40,0.000296902,50,0.000290835,60,0.000316696,70,0.000330082,80,0.000333409,90,0.000325914,100,0.000344166
4300,10,0.000228948,20,0.000263248,30,0.000291554,40,0.000302899,50,0.000299464,60,0.000319723,70,0.000333674,80,0.000342983,90,0.00032696,100,0.000355102
4400,10,0.000235415,20,0.000271993,30,0.000298191,40,0.000314556,50,0.000310512,60,0.000331409,70,0.000340396,80,0.000348588,90,0.000340789,100,0.000361074
