text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
3100,10,9.3931e-06,20,7.1787e-06,30,6.2536e-06,40,5.9391e-06,50,6.0414e-06,60,5.5754e-06,70,5.8694e-06,80,7.4511e-06,90,6.4705e-06,100,5.9766e-06
3200,10,1.07574e-05,20,7.844e-06,30,6.5593e-06,40,6.8515e-06,50,5.7454e-06,60,6.2808e-06,70,6.2308e-06,80,5.4415e-06,90,7.0239e-06,100,7.8527e-06
3300,10,1.08917e-05,20,7.9855e-06,30,6.8002e-06,40,6.8976e-06,50,6.3683e-06,60,6.1309e-06,70,6.4282e-06,80,6.8099e-06,90,6.9921e-06,100,7.3312e-06
3400,10,1.14623e-05,20,7.4037e-06,30,6.5206e-06,40,7.3928e-06,50,6.0326e-06,60,7.3458e-06,70,6.2999e-06,80,7.5731e-06,90,6.9695e-06,100,7.9815e-06
3500,10,1.34413e-05,20,7.9796e-06,30,7.6214e-06,40,6.8399e-06,50,6.3039e-06,60,7.4043e-06,70,6.4705e-06,80,6.9472e-06,90,6.123e-06,100,8.6456e-06
3600,10,1.10937e-05,20,8.2563e-06,30,7.4979e-06,40,6.0804e-06,50,6.309e-06,60,7.0292e-06,70,8.7093e-06,80,6.7571e-06,90,6.2865e-06,100,6.4717e-06
3700,10,1.21273e-05,20,8.3279e-06,30,7.7991e-06,40,6.8258e-06,50,6.6967e-06,60,6.5881e-06,70,6.9234e-06,80,6.5451e-06,90,6.9265e-06,100,6.459e-06
3800,10,1.16193e-05,20,8.944e-06,30,7.1925e-06,40,6.7064e-06,50,7.3815e-06,60,6.3196e-06,70,7.4016e-06,80,6.7974e-06,90,7.1108e-06,100,7.5199e-06
3900,10,1.25062e-05,20,8.4296e-06,30,7.1272e-06,40,6.3508e-06,50,6.5239e-06,60,6.9857e-06,70,7.5578e-06,80,6.818e-06,90,8.2726e-06,100,6.8122e-06
4000,10,1.31893e-05,20,8.5246e-06,30,7.4465e-06,40,6.7642e-06,50,6.8911e-06,60,7.6234e-06,70,7.511e-06,80,6.9237e-06,90,7.8985e-06,100,7.1713e-06
